player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament;actual_minus_expected;actual_to_expected_ratio;actual_points_per_credit
Andrey Rublev;14,2;50,73;11;12,0;;;128;128;128;9;1913,0;1897,7;2122,1;0,5;0,625;0,8;0,6059471047801899;762,0;0,0499999999999999;0,0;237;andrey rublev;4;100,0;27;49,27;1,9712201852946976;7,042253521126761
Thiago Agustin Tirante;4,5;31,67;24;;;ARG;128;128;128;27;1750,0;1729,6;1759,1;0,6666666666666666;0,7142857142857143;0,5384615384615384;0,5121253786484481;565,0;0,0499999999999999;0,0;241;thiago agustin tirante;2;50,0;27;18,33;1,5787811809283232;11,11111111111111
Luciano Darderi;8,0;25,19;36;18,0;;ITA;128;128;128;60;1839,4;1843,0;1858,1;0,5;0,5;0,8;0,572691904397991;667,0;0,0;1,0;240;luciano darderi;3;75,0;27;49,81;2,9773719730051607;9,375
Sebastian Baez;3,4;21,84;46;;;ARG;128;128;128;55;1749,6;1717,0;1941,4;0,4166666666666667;0,3333333333333333;0,6;0,1211926889684839;449,0;-0,15;0,0;193;sebastian baez;2;50,0;27;28,16;2,2893772893772892;14,705882352941178
Alejandro Tabilo;4,7;20,37;48;;;CHI;128;128;128;35;1803,9;1771,9;1895,7;0,6666666666666666;0,6666666666666666;0,6428571428571429;1,6100823347619255;1029,0;0,1;0,0;230;alejandro tabilo;2;50,0;27;29,63;2,4545900834560626;10,638297872340425
Nuno Borges;5,8;3,67;89;;;POR;128;128;128;51;1779,1;1732,7;1843,6;0,3333333333333333;0,375;0,6153846153846154;1,4865633142375838;805,0;0,0;0,0;209;nuno borges;2;50,0;27;46,33;13,623978201634877;8,620689655172415
