player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
Tommy Paul;13,3;75,7;1;4,0;;USA;32;32;32;12;1943,0;1878,5;2028,8;0,6666666666666666;0,0;0,0;-0,0011600665115278;393,0;-0,15;0,0;152
Daniil Medvedev;17,3;68,29;2;1,0;;;32;32;32;1;1971,3;1959,3;2201,2;0,5833333333333334;0,0;0,0;0,0123133707691731;419,0;-0,15;0,0;177
Learner Tien;8,2;67,58;3;8,0;;USA;32;32;32;8;1922,3;1894,8;1977,4;0,6666666666666666;0,0;0,0;-0,0259009518713165;401,0;0,0;0,0;154
Alejandro Davidovich Fokina;12,6;52,07;4;2,0;;ESP;32;32;32;16;1895,2;1843,4;1934,8;0,75;0,0;0,0;1,001589921631635;1246,0;0,0;0,0;151
Raphael Collignon;3,0;36,38;8;;Q;BEL;32;32;32;13;1905,7;1842,9;1924,1;0,5833333333333334;0,0;0,0;2,085429808546857;880,0;0,3999999999999999;0,0;149
Kamil Majchrzak;3,1;36,21;9;;LL;POL;32;32;32;3;1798,8;1738,3;1813,1;0,75;0,0;0,0;-0,0909583000330613;284,0;-0,35;0,0;139
