player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament
Andrey Rublev;14,2;61,29;1;1,0;;;32;32;32;1;1913,0;1897,7;2122,1;0,6666666666666666;0,875;0,8;1,6641316468563756;655,0;0,09;0,0;169;andrey rublev;4;100,0;27
Luciano Darderi;8,0;42,43;5;2,0;;ITA;32;32;32;16;1839,4;1843,0;1858,1;0,5833333333333334;0,5714285714285714;0,7;1,833954835161508;811,0;0,0299999999999999;0,0;180;luciano darderi;3;75,0;27
Adolfo Daniel Vallejo;1,8;39,87;7;;;;32;32;32;10;1721,2;1702,0;1780,4;0,5;0,625;0,8;2,479244545216813;1050,0;0,0499999999999999;0,0;157;adolfo daniel vallejo;3;75,0;27
Nuno Borges;5,8;58,56;2;5,0;;POR;32;32;32;13;1779,1;1732,7;1843,6;0,5833333333333334;0,6666666666666666;0,4;0,9591322967497176;862,0;0,0299999999999999;0,0;168;nuno borges;2;50,0;27
Sebastian Baez;3,4;42,85;4;8,0;;ARG;32;32;32;4;1749,6;1717,0;1941,4;0,6666666666666666;0,7777777777777778;0,9;0,6257817061767533;416,0;0,0;0,0;148;sebastian baez;2;50,0;27
Alejandro Tabilo;4,7;40,85;6;3,0;;CHI;32;32;32;5;1803,9;1771,9;1895,7;0,5;0,7142857142857143;0,7;1,4661241498188278;581,0;0,0;0,0;168;alejandro tabilo;2;50,0;27
