player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
Adolfo Daniel Vallejo;1,8;28,28;39;;;PAR;128;128;128;19;1754,6;1627,3;1780,4;0,5833333333333334;0,0;0,1;0,400929596651125;496,0;-0,15;0,0;171
Rinky Hijikata;2,7;27,06;40;;;AUS;128;128;128;27;1747,2;1681,6;1756,2;0,5833333333333334;0,7;0,5;1,6652088955479296;1066,0;0,0499999999999999;0,0;316
Dino Prizmic;3,1;25,53;41;;;CRO;128;128;128;18;1840,7;1599,6;1886,5;0,6666666666666666;0,0;0,1;0,0287801779719256;351,0;-0,15;0,0;176
Hamad Medjedovic;5,3;25,45;42;;;SRB;128;128;128;10;1840,5;1662,2;1859,9;0,6666666666666666;0,5;0,25;0,3632961317202612;366,0;0,0;0,0;220
Marton Fucsovics;3,7;24,66;43;;;HUN;128;128;128;23;1755,6;1694,7;1924,2;0,3333333333333333;0,3333333333333333;0,6;0,098703552880663;271,0;-0,05;0,0;289
Corentin Moutet;4,3;24,49;44;;;FRA;128;128;128;62;1763,1;1677,0;1881,9;0,25;0,25;0,5;1,2656026550703725;715,0;-0,075;0,0;292
Alex Molcan;2,3;24,29;45;;;SVK;128;128;128;58;1760,7;1625,0;1872,5;0,75;0,6666666666666666;0,2307692307692307;1,0990484652949857;775,0;0,0499999999999999;0,0;268
Botic Van De Zandschulp;3,9;23,9;46;;;NED;128;128;128;26;1743,5;1595,4;1938,0;0,4166666666666667;0,3333333333333333;0,375;0,3451631573780566;349,0;-0,05;0,0;348
Martin Landaluce;3,6;22,53;47;;;ESP;128;128;128;11;1742,5;1661,9;1764,1;0,5833333333333334;0,5;0,3529411764705882;1,929502861987968;1617,0;0,0;0,0;184
Tomas Martin Etcheverry;5,9;22,01;48;29,0;;ARG;128;128;128;52;1826,7;1589,4;1871,7;0,3333333333333333;0,0;0,25;0,9685908167147084;246,0;-0,15;0,0;390
Nuno Borges;5,8;21,5;49;;;POR;128;128;128;2;1745,7;1603,3;1843,6;0,6666666666666666;0,6666666666666666;0,4615384615384615;1,3952488145632849;885,0;0,0499999999999999;0,0;333
