player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament;actual_minus_expected;actual_to_expected_ratio;actual_points_per_credit
Alexander Zverev;27,2;90,85;2;2,0;;GER;128;128;128;64;2099,8;1913,6;2176,5;0,8333333333333334;0,75;0,2105263157894736;1,9644263554252297;1509,0;0,1;0,0;418;alexander zverev;6;150,0;127;59,150000000000006;1,651073197578426;5,514705882352941
Novak Djokovic;25,1;86,81;3;7,0;;SRB;128;128;128;32;2059,3;1924,9;2463,2;0,5714285714285714;0,0;0,0;-0,0462739721836755;524,0;0,0;0,0;288;novak djokovic;5;125,0;127;38,19;1,4399262757746802;4,9800796812749
Flavio Cobolli;11,7;56,69;19;9,0;;ITA;128;128;128;40;1896,3;1742,2;1914,6;0,5833333333333334;0,0;0,0714285714285714;0,4874192312370464;991,0;-0,05;0,0;383;flavio cobolli;4;100,0;127;43,31;1,763979537837361;8,547008547008547
Arthur Fery;2,0;20,53;53;;WC;GBR;128;128;128;47;1722,3;1602,9;1751,3;0,6666666666666666;0,6666666666666666;0,6;1,9495740144340532;1026,0;0,0799999999999999;1,0;110;arthur fery;5;125,0;127;104,47;6,088650754992694;62,5
Jan Lennard Struff;2,6;17,15;64;;;GER;128;128;128;14;1691,5;1623,1;1935,1;0,4166666666666667;0,5;0,4;0,8995146279111672;770,0;0,0;0,0;302;jan lennard struff;4;100,0;127;82,85;5,830903790087464;38,46153846153846
Shintaro Mochizuki;1,0;12,8;80;;Q;JPN;128;128;128;7;1485,4;1524,9;1714,9;0,3333333333333333;0,4;0,625;0,432183812400275;544,0;0,35;0,0;264;shintaro mochizuki;3;75,0;127;62,2;5,859375;75,0
Hubert Hurkacz;5,6;9,75;91;;;POL;128;128;128;9;1798,2;1699,9;2022,5;0,5;0,3333333333333333;0,2727272727272727;0,4001579409813965;603,0;-0,05;0,0;306;hubert hurkacz;3;75,0;127;65,25;7,6923076923076925;13,392857142857144
