player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament
Jiri Lehecka;10,8;59,62;1;1,0;;CZE;32;32;32;1;1934,6;1888,6;1989,9;0,5833333333333334;0,0;0,0;0,1742613691108118;605,0;0,0;0,0;212;jiri lehecka;0;0,0;31
Francisco Cerundolo;12,4;55,25;2;3,0;;ARG;32;32;32;5;1915,1;1872,1;1961,6;0,6666666666666666;0,0;0,0;-0,2381281566461771;105,0;0,0;0,0;234;francisco cerundolo;0;0,0;31
Cameron Norrie;7,0;55,13;3;5,0;;GBR;32;32;32;9;1815,5;1782,4;2028,6;0,3333333333333333;0,0;0,0;-0,1680492089227105;240,0;0,0;0,0;204;cameron norrie;0;0,0;31
Karen Khachanov;11,9;53,95;4;4,0;;;32;32;32;12;1831,4;1784,5;2029,5;0,5833333333333334;0,0;0,0;0,0779330588027302;546,0;-0,15;0,0;198;karen khachanov;0;0,0;31
Grigor Dimitrov;3,8;42,3;5;;WC;BUL;32;32;32;3;1758,1;1742,9;2111,5;0,6666666666666666;0,0;0,0;0,6599533770118591;1079,0;0,05;0,0;185;grigor dimitrov;0;0,0;31
Denis Shapovalov;7,4;36,75;6;8,0;;CAN;32;32;32;13;1761,8;1770,4;1983,2;0,2727272727272727;0,0;0,0;-0,2373233742382875;114,0;0,0;0,0;155;denis shapovalov;0;0,0;31
