player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
Ben Shelton;18,1;78,68;1;2,0;;USA;32;32;32;16;1997,7;1971,9;2024,4;0,6666666666666666;0,8;0,9090909090909092;1,3120010637075787;1040,0;0,1;1,0;233
Alex De Minaur;17,6;60,91;2;1,0;;AUS;32;32;32;1;1946,3;1918,3;2053,1;0,6666666666666666;0,625;0,6666666666666666;1,833080184775092;932,0;0,0;0,0;275
Learner Tien;8,8;50,85;5;5,0;;USA;32;32;32;8;1933,3;1901,5;1977,4;0,5833333333333334;0,625;0,8;1,277802033065723;761,0;0,0499999999999999;1,0;169
Rafael Jodar;9,1;49,55;6;;;ESP;32;32;32;9;2024,5;1939,9;2051,1;0,75;0,7692307692307693;0,8125;2,9404795744776213;1484,0;0,0499999999999999;0,0;110
Jakub Mensik;12,8;49,36;7;7,0;;CZE;32;32;32;4;1914,5;1882,2;1969,6;0,5833333333333334;0,6666666666666666;0,8181818181818182;2,073667067573054;1056,0;0,0499999999999999;0,0;216
Frances Tiafoe;10,0;41,62;8;6,0;;USA;32;32;32;13;1896,1;1840,7;1974,0;0,75;0,6666666666666666;0,6666666666666666;1,1471912938874622;622,0;0,09;1,0;220
