player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
Arthur Gea;1,0;36,25;6;;;FRA;32;32;32;7;1746,4;1759,9;1746,4;0,6666666666666666;0,8;0,3333333333333333;1,036243672328152;1096,0;0,0499999999999999;0,0;113;arthur gea;27;5;125,0
Denis Shapovalov;6,8;43,79;5;8,0;;CAN;32;32;32;13;1772,7;1773,4;1983,2;0,2727272727272727;0,0;0,0;-0,2280034630907561;114,0;0,0;0,0;129;denis shapovalov;27;4;100,0
Cameron Norrie;7,4;57,73;2;5,0;;GBR;32;32;32;9;1847,4;1809,8;2028,6;0,3333333333333333;0,0;0,0;-0,1484283433489601;240,0;0,0;0,0;143;cameron norrie;27;3;75,0
Coleman Wong;1,0;22,2;12;;;;32;32;32;2;1648,4;1634,6;1730,8;0,5;0,6;0,3571428571428571;0,8321575508265083;513,0;0,0299999999999999;0,0;180;coleman wong;27;3;75,0
Bernard Tomic;1,0;15,09;19;;LL;AUS;32;32;32;11;1550,1;1519,5;1947,4;0,6666666666666666;0,7;0,5263157894736842;1,551631344916778;920,0;-0,1;0,0;150;bernard tomic;27;2;50,0
Dalibor Svrcina;1,0;6,97;25;;;CZE;32;32;32;15;1614,6;1596,1;1712,9;0,4166666666666667;0,0;0,0;0,2857413416833915;506,0;-0,05;0,0;152;dalibor svrcina;27;2;50,0
