player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
Mariano Navone;3,6;65,86;1;;;ARG;32;32;32;14;1811,6;1794,8;1875,9;0,5;0,5714285714285714;0,7777777777777778;0,3816219729545742;465,0;-0,15;0,0;165
Ignacio Buse;4,9;60,83;2;5,0;;;32;32;32;8;1811,0;1780,7;1844,9;0,5833333333333334;0,6666666666666666;0,5;0,4123140420611857;545,0;-0,05;0,0;143
Raphael Collignon;3,0;55,97;3;7,0;;BEL;32;32;32;4;1883,4;1808,1;1924,1;0,6666666666666666;0,6666666666666666;0,5625;2,517822433316537;1053,0;0,0499999999999999;0,0;148
Juan Manuel Cerundolo;4,8;51,16;4;8,0;;ARG;32;32;32;9;1782,3;1757,6;1803,9;0,6666666666666666;0,75;0,6666666666666666;1,7537034292995426;986,0;0,0299999999999999;0,0;187
Alexander Bublik;12,0;48,95;5;1,0;;KAZ;32;32;32;1;1903,0;1829,4;1988,6;0,5;0,4;0,3846153846153846;1,0841415352972965;816,0;0,0299999999999999;0,0;161
Yannick Hanfmann;2,3;39,67;6;;;GER;32;32;32;10;1781,1;1741,4;1843,4;0,4166666666666667;0,25;0,3333333333333333;0,8295126873777086;743,0;0,0;0,0;162
