player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
JAKUB MENSIK;13,6;50,57;21;26,0;;CZE;128;128;128;36;1931,3;1861,1;1969,6;0,5;0,5;0,666666667;0,542290594;442;0,0;0;155;jakub mensik;127;5;125,0
JOAO FONSECA;10,8;46,77;25;28,0;;BRA;128;128;128;45;1927,6;1856,3;1992,5;0,583333333;0,6;0,833333333;0,450544202;554;-0,05;0;137;joao fonseca;127;4;100,0
MATTEO BERRETTINI;6,2;34,92;35;;;ITA;128;128;128;6;1831,4;1790,1;2065,7;0,416666667;0,454545455;0,785714286;1,087766753;770;0,0;0;110;matteo berrettini;127;4;100,0
JESPER DE JONG;1,0;31,32;37;;LL;NED;128;128;128;60;1707,0;1701,5;1741,0;0,5;0,529411765;1,0;1,385962501;992;-0,15;0;163;jesper de jong;127;3;75,0
MATTEO ARNALDI;4,2;27,81;40;;;ITA;128;128;128;13;1840,6;1835,7;1902,9;0,666666667;0,571428571;0,933333333;2,314386864;1217;0,1;0;123;matteo arnaldi;127;5;125,0
ALEJANDRO TABILO;5,0;27,71;41;;;CHI;128;128;128;23;1832,2;1787,8;1895,7;0,666666667;0,642857143;0,823529412;1,740309352;1238;0,05;0;158;alejandro tabilo;127;3;75,0
