player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
DANIEL ALTMAIER;3,4;3,34;111;;;GER;128;128;128;17;1736,3;1694,1;1789,1;0,5;0,5625;0,941176471;1,649623402;771;-0,03;0;157
JENSON BROOKSBY;3,3;3,26;112;;;USA;128;128;128;35;1690,9;1605,7;2005,3;0,25;0,0;0,8;0,439001958;297;-0,15;0;65
JACOB FEARNLEY;2,5;2,99;113;;;GBR;128;128;128;2;1600,4;1598,5;1910,0;0,333333333;0,5;0,8;1,253227709;468;0,0;0;120
DAMIR DZUMHUR;2,4;2,98;114;;;BIH;128;128;128;53;1627,0;1588,5;1895,8;0,333333333;0,428571429;0,875;1,161371671;662;-0,05;0;173
DANIEL MERIDA AGUILAR;1,0;2,62;115;;;ESP;128;128;128;16;1741,7;1698,2;1798,1;0,0;0,0;0,0;-0,3;0;0,0;0;0
GIOVANNI MPETSHI PERRICARD;1,3;2,56;116;;;FRA;128;128;128;48;1737,0;1672,4;1862,8;0,5;0,6;0,833333333;1,508368262;510;0,03;1;144
MICHAEL ZHENG;1,0;2,52;117;;Q;USA;128;128;128;46;1645,5;1423,9;1777,3;0,5;0,0;1,0;0,229485943;118;0,2;0;48
RINKY HIJIKATA;2,0;2,06;118;;;AUS;128;128;128;44;1747,2;1577,0;1756,2;0,416666667;0,444444444;0,818181818;1,477227324;805;0,0;0;172
TOBY SAMUEL;1,0;1,94;119;;Q;GBR;128;128;128;33;1650,2;1507,0;1787,0;0,666666667;0,5;1,0;0,021318006;237;0,2;0;46
COLEMAN WONG;1,0;1,84;120;;LL;HKG;128;128;128;34;1605,8;1429,9;1730,8;0,583333333;0,0;0,076923077;0,370927146;647;-0,1;0;166
ANDREA PELLEGRINO;1,7;1,71;121;;Q;ITA;128;128;128;25;1645,7;1628,5;1653,1;0,5;0,5625;1,0;1,545120773;930;0,45;0;131
LUKA PAVLOVIC;1,0;1,66;122;;Q;FRA;128;128;128;45;1441,4;1399,9;1635,0;0,5;0,444444444;0,692307692;0,2746909;269;0,2;1;82
ALEKSANDAR KOVACEVIC;3,2;1,36;123;;;USA;128;128;128;52;1645,3;1567,6;1758,8;0,333333333;0,333333333;0,9;1,411205857;887;-0,05;0;158
ADAM WALTON;3,4;1,34;124;;WC;AUS;128;128;128;32;1691,8;1537,4;1747,1;0,666666667;0,333333333;0,157894737;0,926670224;1051;0,1;0;176
THOMAS FAUREL;1,0;1,3;125;;Q;FRA;128;128;128;24;1355,7;1318,2;1412,6;0,333333333;0,25;1,0;-0,082243163;248;0,35;1;19
BENJAMIN BONZI;1,4;1,29;126;;;FRA;128;128;128;64;1749,6;1621,9;1835,8;0,5;0,444444444;0,818181818;0,872611303;682;-0,075;1;151
ALEKSANDAR VUKIC;1,0;1,05;127;;;AUS;128;128;128;15;1623,5;1512,2;1773,3;0,25;0,222222222;0,75;0,989349283;567;-0,03;0;162
CLEMENT TABUR;1,0;0,86;128;;WC;FRA;128;128;128;1;1604,0;1549,0;1632,3;0,75;0,727272727;1,0;-0,01327695;454;0,05;1;110
