player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
Martin Damm;1,0;18,89;28;;WC;USA;64;64;64;2;1695,7;1645,5;1767,9;0,5;0,5;0,75;0,3141954239280943;595,0;0,0;0,0;137;martin damm;44;2;50,0
Mattia Bellucci;3,2;18,5;29;;;ITA;64;64;64;31;1715,7;1673,0;1814,3;0,5;0,3333333333333333;0,75;0,9395636715906092;375,0;-0,05;0,0;265;mattia bellucci;44;1;25,0
Cruz Hewitt;1,0;16,56;30;;WC;AUS;64;64;64;10;1505,5;1483,4;1510,5;0,75;0,75;1,0;-0,133176935990971;264,0;0,05;0,0;16;cruz hewitt;44;1;25,0
Adrian Mannarino;2,2;16,12;31;9,0;;FRA;64;64;64;5;1671,7;1644,3;1896,3;0,3333333333333333;0,25;0,4444444444444444;0,2097559653968524;387,0;-0,15;0,0;296;adrian mannarino;44;0;0,0
Martin Landaluce;3,7;14,68;32;;WC;ESP;64;64;64;31;1706,6;1663,0;1764,1;0,4166666666666667;0,4;0,7142857142857143;1,4019965141809467;663,0;0,05;0,0;190;martin landaluce;44;0;0,0
Jesper De Jong;2,0;13,22;34;;;NED;64;64;64;23;1691,1;1604,8;1741,0;0,5;0,5;0,4444444444444444;0,6237544115091473;310,0;0,0;0,0;281;jesper de jong;44;0;0,0
Aleksandar Kovacevic;2,9;13,17;35;;;USA;64;64;64;14;1628,1;1604,4;1758,8;0,1666666666666666;0,25;0,6666666666666666;0,5995074486856796;452,0;-0,05;0,0;297;aleksandar kovacevic;44;3;75,0
Francisco Comesana;2,7;9,49;37;;;ARG;64;64;64;22;1642,4;1587,7;1761,9;0,5;0,0;0,3333333333333333;0,4404564553387962;256,0;-0,15;0,0;258;francisco comesana;44;1;25,0
Quinn Vandecasteele;1,0;9,08;38;;Q;USA;64;64;64;7;1403,4;1387,6;1424,3;0,3333333333333333;0,5;1,0;-0,0014294427082215;192,0;0,35;0,0;22;quinn vandecasteele;44;0;0,0
Pierre Hugues Herbert;1,0;8,75;39;;LL;FRA;64;64;64;6;1571,4;1558,8;1867,9;0,5;0,0;0,0;-0,3;0,0;-0,2;0,0;207;pierre hugues herbert;44;0;0,0
Mees Rottgering;1,0;8,49;40;;Q;NED;64;64;64;11;1492,5;1461,4;1511,3;0,4285714285714285;0,5;1,0;-0,0060946076659056;189,0;0,35;0,0;25;mees rottgering;44;2;50,0
Dhakshineswar Suresh;1,0;8,05;42;;LL;IND;64;64;64;18;1619,4;1587,0;1653,4;0,6;0,6;1,0;-0,0543013122286407;158,0;-0,2;0,0;29;dhakshineswar suresh;44;1;25,0
Benjamin Bonzi;1,4;7,1;43;;;FRA;64;64;64;27;1708,2;1671,0;1835,8;0,5;0,5;0,8888888888888888;1,5046156096319296;965,0;-0,0299999999999999;0,0;283;benjamin bonzi;44;4;100,0
Adolfo Daniel Vallejo;1,8;6,69;44;;;;64;64;64;30;1719,3;1561,4;1780,4;0,5;0,4;0,3571428571428571;0,7578133349850668;449,0;-0,0299999999999999;0,0;183;adolfo daniel vallejo;44;1;25,0
Giovanni Mpetshi Perricard;1,3;6,37;45;;;FRA;64;64;64;15;1689,4;1629,1;1862,8;0,3333333333333333;0,0;0,6666666666666666;0,0500000157396666;200,0;-0,15;0,0;202;giovanni mpetshi perricard;44;0;0,0
Sho Shimabukuro;1,7;5,47;46;;;JPN;64;64;64;3;1635,7;1575,8;1692,5;0,4166666666666667;0,3333333333333333;0,8571428571428571;0,5801145934422225;599,0;-0,0299999999999999;0,0;242;sho shimabukuro;44;0;0,0
Darwin Blanch;1,0;3,95;47;;WC;USA;64;64;64;26;1463,7;1403,4;1610,4;0,25;0,0;0,5;0,2637544146904892;224,0;-0,0999999999999999;0,0;79;darwin blanch;44;0;0,0
Hugo Grenier;1,0;1,93;48;;LL;FRA;64;64;64;19;1531,1;1508,7;1734,0;0,1666666666666666;0,5;0,6666666666666666;-0,3;0,0;-0,2;0,0;270;hugo grenier;44;1;25,0
BYE;0,0;0,0;49;;;;64;64;64;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;12;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;13;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;16;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;17;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;21;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;25;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;28;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;29;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
BYE;0,0;0,0;49;;;;64;64;64;32;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;44;0;0,0
