player;credits;expected_points;rank_v13;seed;entry;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db
ARTHUR FILS;11,4;46,54;1;;;64;64;64;8;2020,6;1955,1;2051,0;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;133
FLAVIO COBOLLI;11,7;42,77;3;;;64;64;64;25;1896,3;1862,4;1914,6;0,0;0,0;0,0;-0,3;0,0;0,0;1,0;175
DANIIL MEDVEDEV;17,4;42,62;4;;;64;64;64;32;1977,4;1889,0;2201,2;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;174
ANDREY RUBLEV;14,9;41,89;6;;;64;64;64;9;1902,2;1872,4;2122,1;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;164
TOMAS MARTIN ETCHEVERRY;6,2;34,41;9;;;64;64;64;21;1826,7;1774,5;1871,7;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;160
CAMERON NORRIE;7,3;32,68;11;;;64;64;64;28;1828,8;1787,7;2028,6;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;142
BRANDON NAKASHIMA;6,7;31,99;13;;;64;64;64;13;1839,0;1734,9;1909,5;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;189
MARIN CILIC;4,0;30,86;16;;;64;64;64;23;1800,4;1701,2;2100,4;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;92
