player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament
Jannik Sinner;33,2;114,43;1;1,0;;ITA;128;128;128;1;2319,8;2088,3;2339,8;0,9166666666666666;0,0;0,0;-0,144426936289844;342,0;0,0;0,0;405;jannik sinner;6;150,0;95
Casper Ruud;17,8;50,13;21;11,0;;NOR;128;128;128;9;1983,1;1714,8;2071,9;0,75;0,0;0,0;0,053354446781876;650,0;0,0;0,0;378;casper ruud;5;125,0;95
Luciano Darderi;8,0;39,12;27;14,0;;ITA;128;128;128;8;1839,2;1620,7;1858,1;0,6666666666666666;0,5;0,1538461538461538;0,8315516607095566;604,0;0,0;0,0;312;luciano darderi;4;100,0;95
Dino Prizmic;3,1;25,53;41;;;CRO;128;128;128;18;1840,7;1599,6;1886,5;0,6666666666666666;0,0;0,1;0,0287801779719256;351,0;-0,15;0,0;176;dino prizmic;3;75,0;95
Hamad Medjedovic;5,3;25,45;42;;;SRB;128;128;128;10;1840,5;1662,2;1859,9;0,6666666666666666;0,5;0,25;0,3632961317202612;366,0;0,0;0,0;220;hamad medjedovic;3;75,0;95
Martin Landaluce;3,6;22,53;47;;;ESP;128;128;128;11;1742,5;1661,9;1764,1;0,5833333333333334;0,5;0,3529411764705882;1,929502861987968;1617,0;0,0;0,0;184;martin landaluce;3;75,0;95
Thiago Agustin Tirante;4,5;18,23;57;;;ARG;128;128;128;22;1748,6;1562,8;1759,1;0,5833333333333334;0,5;0,1818181818181818;0,6325129485738525;550,0;0,0;0,0;345;thiago agustin tirante;3;75,0;95
Botic Van De Zandschulp;3,9;23,9;46;;;NED;128;128;128;26;1743,5;1595,4;1938,0;0,4166666666666667;0,3333333333333333;0,375;0,3451631573780566;349,0;-0,05;0,0;348;botic van de zandschulp;2;50,0;95
