player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament
Jannik Sinner;33,2;114,43;1;1,0;;ITA;128;128;128;1;2319,8;2088,3;2339,8;0,9166666666666666;0,0;0,0;-0,144426936289844;342,0;0,0;0,0;405;jannik sinner;6;150,0;95
Alexander Zverev;27,2;90,85;2;2,0;;GER;128;128;128;64;2099,8;1913,6;2176,5;0,8333333333333334;0,75;0,2105263157894736;1,9644263554252297;1509,0;0,1;0,0;418;alexander zverev;2;50,0;95
Novak Djokovic;25,1;86,81;3;7,0;;SRB;128;128;128;32;2059,3;1924,9;2463,2;0,5714285714285714;0,0;0,0;-0,0462739721836755;524,0;0,0;0,0;288;novak djokovic;0;0,0;95
Alex De Minaur;17,8;83,39;4;5,0;;AUS;128;128;128;33;1961,0;1833,9;2053,1;0,6666666666666666;0,7142857142857143;0,4666666666666667;1,0026136443853797;829,0;0,0499999999999999;0,0;385;alex de minaur;0;0,0;95
Ben Shelton;17,5;78,22;5;4,0;;USA;128;128;128;48;1960,5;1863,4;2024,4;0,6666666666666666;0,8571428571428571;0,5833333333333334;2,509158828795996;1045,0;0,1;0,0;271;ben shelton;0;0,0;95
Felix Auger Aliassime;20,1;77,17;6;3,0;;CAN;128;128;128;17;1957,9;1789,1;2062,7;0,6666666666666666;0,6;0,3571428571428571;2,081071114917473;1569,0;0,0299999999999999;0,0;365;felix auger aliassime;0;0,0;95
Taylor Fritz;22,3;72,83;7;6,0;;USA;128;128;128;49;1909,0;1856,6;2070,2;0,5833333333333334;0,7777777777777778;0,8181818181818182;2,8956135787572164;1063,0;0,0499999999999999;0,0;385;taylor fritz;0;0,0;95
Frances Tiafoe;10,6;70,77;8;17,0;;USA;128;128;128;53;1918,1;1823,4;1974,0;0,8333333333333334;0,875;0,5;2,0945648771761363;1636,0;0,1;0,0;340;frances tiafoe;1;25,0;95
Learner Tien;8,2;68,25;9;16,0;;USA;128;128;128;24;1941,1;1711,3;1977,4;0,75;0,5;0,1666666666666666;0,7301985301028082;680,0;0,0;0,0;161;learner tien;2;50,0;95
Tommy Paul;13,3;66,64;10;21,0;;USA;128;128;128;12;1948,5;1800,8;2028,8;0,75;0,8;0,3333333333333333;1,6167748043043768;949,0;0,09;0,0;346;tommy paul;1;25,0;95
