player;credits;expected_points;rank_v13;seed;entry;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament;actual_minus_expected;actual_to_expected_ratio;actual_points_per_credit
JANNIK SINNER;33,2;43,91;2;;;64;64;64;1;2319,8;2215,7;2339,8;0,0;0,0;0,0;-0,3;0,0;0,0;1,0;185;jannik sinner;6;150,0;95;106,09;3,4160783420633116;4,518072289156626
HAMAD MEDJEDOVIC;5,1;31,84;14;;;64;64;64;19;1840,5;1816,3;1859,9;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;133;hamad medjedovic;3;75,0;95;43,16;2,3555276381909547;14,705882352941178
THIAGO AGUSTIN TIRANTE;4,5;27,1;18;;;64;64;64;27;1748,6;1718,8;1759,1;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;181;thiago agustin tirante;3;75,0;95;47,9;2,7675276752767526;16,666666666666668
PABLO LLAMAS RUIZ;1,0;19,98;29;;;64;64;64;30;1733,6;1709,6;1763,0;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;103;pablo llamas ruiz;2;50,0;95;30,02;2,5025025025025025;50,0
ANDREA PELLEGRINO;1,7;16,39;34;;;64;64;64;7;1645,7;1628,5;1653,1;0,0;0,0;0,0;-0,3;0,0;0,0;1,0;139;andrea pellegrino;3;75,0;95;58,61;4,575960951799877;44,11764705882353
NIKOLOZ BASILASHVILI;2,2;14,45;39;;;64;64;64;15;1684,6;1651,9;1889,8;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;139;nikoloz basilashvili;3;75,0;95;60,55;5,190311418685122;34,090909090909086
