player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament
Fabian Marozsan;4,0;28,06;30;;;HUN;128;128;128;3;1786,5;1747,8;1867,2;0,4166666666666667;0,0;0,0;-0,2666666666666666;80,0;0,0;0,0;141;fabian marozsan;0;0;0
Pablo Carreno Busta;3,1;27,56;31;;;ESP;128;128;128;11;1790,3;1738,9;2005,1;0,5833333333333334;0,0;0,0;0,5054762748233839;679,0;0,0;0,0;133;pablo carreno busta;0;0;0
Jaume Munar;4,6;26,17;32;;;ESP;128;128;128;35;1764,0;1742,1;1830,4;0,4166666666666667;0,0;0,0;-0,0553708063964249;428,0;-0,15;0,0;151;jaume munar;0;0;0
Alexander Blockx;4,7;25,97;33;27,0;;BEL;128;128;128;36;1884,3;1782,5;1907,2;0,5;0,0;0,0;1,5759757690203768;699,0;0,0299999999999999;0,0;170;alexander blockx;0;0;0
Marin Cilic;3,8;25,79;34;;;CRO;128;128;128;58;1796,4;1759,5;2100,4;0,3333333333333333;0,0;0,0;-0,3;0,0;0,0;0,0;93;marin cilic;0;0;0
Miomir Kecmanovic;4,6;25,68;35;;;SRB;128;128;128;59;1753,5;1701,5;1900,6;0,5;0,0;0,0;0,1253692303487237;334,0;-0,05;0,0;154;miomir kecmanovic;0;0;0
Yannick Hanfmann;2,3;25,36;36;;;GER;128;128;128;50;1788,0;1724,3;1843,4;0,5833333333333334;0,0;0,0;0,7888936855899539;740,0;0,0499999999999999;0,0;166;yannick hanfmann;0;0;0
Karen Khachanov;11,9;24,81;37;21,0;;;128;128;128;21;1831,4;1784,5;2029,5;0,5;0,0;0,2;0,4145022311461821;453,0;-0,15;0,0;147;karen khachanov;0;0;0
Zizou Bergs;4,3;24,22;38;31,0;;BEL;128;128;128;29;1816,6;1761,3;1859,2;0,5833333333333334;0,0;0,0909090909090909;0,2928316185513649;517,0;-0,15;0,0;177;zizou bergs;0;0;0
Sebastian Baez;3,4;24,0;39;;;ARG;128;128;128;30;1763,3;1710,8;1941,4;0,75;0,0;0,0;0,6179439530826105;570,0;0,0499999999999999;0,0;151;sebastian baez;0;0;0
Daniel Merida Aguilar;1,0;23,68;40;;;ESP;128;128;128;6;1798,1;1702,8;1822,8;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;0;daniel merida aguilar;0;0;0
Luciano Darderi;8,0;22,38;41;19,0;;ITA;128;128;128;53;1843,4;1682,7;1858,1;0,5;0,0;0,0909090909090909;2,153385021785786;864,0;0,0;0,0;184;luciano darderi;0;0;0
Hamad Medjedovic;5,3;22,15;42;;;SRB;128;128;128;26;1821,5;1734,6;1859,9;0,5833333333333334;0,0;0,0;-0,3;0,0;0,0;0,0;134;hamad medjedovic;0;0;0
Arthur Rinderknech;5,2;22,13;43;23,0;;FRA;128;128;128;60;1773,8;1744,5;1871,8;0,4166666666666667;0,0;0,0;0,4756734729233988;754,0;-0,05;0,0;172;arthur rinderknech;0;0;0
Denis Shapovalov;7,4;21,18;44;;;CAN;128;128;128;43;1761,8;1770,4;1983,2;0,4166666666666667;1,0;0,4285714285714285;0,8765975934283365;283,0;0,15;1,0;132;denis shapovalov;0;0;0
Luca Van Assche;1,0;20,06;45;;;FRA;128;128;128;63;1758,5;1710,1;1801,5;0,8333333333333334;0,0;0,0;1,954598580834128;1026,0;0,1;0,0;181;luca van assche;0;0;0
Gael Monfils;2,9;18,54;46;;WC;FRA;128;128;128;10;1803,3;1783,5;2087,1;0,25;0,0;0,0;-0,3;0,0;0,05;0,0;91;gael monfils;0;0;0
Matteo Arnaldi;4,2;18,2;47;30,0;;ITA;128;128;128;4;1797,1;1715,9;1902,9;0,5833333333333334;0,0;0,1;0,4120141286889039;416,0;-0,05;0,0;136;matteo arnaldi;0;0;0
Tomas Martin Etcheverry;5,9;18,08;48;26,0;;ARG;128;128;128;52;1795,9;1757,7;1871,7;0,25;0,0;0,125;0,8437686428630136;472,0;-0,0299999999999999;0,0;167;tomas martin etcheverry;0;0;0
Jenson Brooksby;3,4;17,93;49;;;USA;128;128;128;31;1725,6;1697,8;2005,3;0,5;0,6666666666666666;0,2727272727272727;1,0382848278973973;529,0;0,0499999999999999;0,0;78;jenson brooksby;0;0;0
Alejandro Tabilo;4,7;17,68;50;25,0;;CHI;128;128;128;20;1784,6;1732,6;1895,7;0,5;1,0;0,2;1,314015149861686;711,0;0,0499999999999999;0,0;171;alejandro tabilo;0;0;0
Giovanni Mpetshi Perricard;1,3;17,32;51;;;FRA;128;128;128;18;1725,0;1665,5;1862,8;0,5;0,0;0,0;-0,3;0,0;0,0;0,0;153;giovanni mpetshi perricard;0;0;0
Tallon Griekspoor;6,5;17,24;52;;;NED;128;128;128;2;1774,1;1768,9;1951,8;0,3333333333333333;0,0;0,2;0,2387195874074608;142,0;-0,15;0,0;149;tallon griekspoor;0;0;0
Marton Fucsovics;3,7;16,26;53;;;HUN;128;128;128;38;1770,5;1726,4;1924,2;0,3;0,0;0,0;-0,139535347329342;364,0;0,0;0,0;130;marton fucsovics;0;0;0
Martin Landaluce;3,6;16,11;54;;;ESP;128;128;128;39;1712,0;1677,5;1764,1;0,4166666666666667;0,0;0,125;0,230183521098708;100,0;-0,15;0,0;168;martin landaluce;0;0;0
Vit Kopriva;4,3;15,61;57;;;CZE;128;128;128;34;1710,0;1655,4;1760,5;0,3333333333333333;0,0;0,0;0,3746971209609913;235,0;-0,15;0,0;178;vit kopriva;0;0;0
Thiago Agustin Tirante;4,5;15,32;59;;;ARG;128;128;128;15;1750,0;1640,6;1759,1;0,5;0,0;0,0;0,1048944823243512;349,0;0,0499999999999999;0,0;187;thiago agustin tirante;0;0;0
Daniel Altmaier;4,6;13,21;63;;;GER;128;128;128;62;1730,5;1649,8;1789,1;0,5;0,0;0,0;0,4174063336038581;624,0;0,0;0,0;173;daniel altmaier;0;0;0
Kamil Majchrzak;3,1;13,02;64;;;POL;128;128;128;10;1798,8;1738,3;1813,1;0,6666666666666666;0,5;0,1428571428571428;0,6058468864999692;363,0;0,0;0,0;141;kamil majchrzak;0;0;0
Corentin Moutet;4,3;12,94;65;;;FRA;128;128;128;38;1733,4;1721,2;1881,9;0,1666666666666666;0,0;0,1666666666666666;0,2679073788415401;113,0;-0,15;0,0;157;corentin moutet;0;0;0
Adrian Mannarino;2,2;12,65;66;;;FRA;128;128;128;23;1675,7;1648,5;1896,3;0,5;0,5;0,1538461538461538;0,6686423549508547;452,0;0,0;0,0;160;adrian mannarino;0;0;0
Roman Andres Burruchaga;1,5;12,43;67;;;ARG;128;128;128;14;1737,9;1558,1;1764,5;0,5;0,0;0,0;1,0203633879682363;853,0;0,0499999999999999;0,0;189;roman andres burruchaga;0;0;0
Alexis Galarneau;1,0;11,59;70;;WC;CAN;128;128;128;34;1607,2;1556,7;1631,5;0,6666666666666666;0,6666666666666666;0,2;0,2791495965994336;793,0;0,0999999999999999;1,0;161;alexis galarneau;0;0;0
James Duckworth;1,0;10,59;71;;;AUS;128;128;128;47;1637,4;1596,6;1785,9;0,4166666666666667;0,5;0,25;0,7151055481451777;400,0;0,0;0,0;180;james duckworth;0;0;0
Mattia Bellucci;2,9;10,16;72;;;ITA;128;128;128;30;1720,3;1677,8;1814,3;0,5;0,0;0,0;-0,3;0,0;0,0;0,0;180;mattia bellucci;0;0;0
Lorenzo Sonego;4,3;10,13;73;;;ITA;128;128;128;2;1735,1;1709,4;1895,3;0,5;0,0;0,0;0,1459979751286885;663,0;0,0;0,0;138;lorenzo sonego;0;0;0
Rinky Hijikata;2,7;9,25;77;;;AUS;128;128;128;35;1734,0;1686,9;1756,7;0,5833333333333334;0,0;0,0833333333333333;0,2882202253184496;120,0;-0,15;0,0;188;rinky hijikata;0;0;0
Ignacio Buse;4,9;9,09;78;29,0;;;128;128;128;45;1801,5;1651,4;1844,9;0,5;0,0;0,0;0,8950204163286726;567,0;0,0;0,0;146;ignacio buse;0;0;0
Zachary Svajda;3,0;8,92;79;;;USA;128;128;128;43;1743,3;1702,6;1794,0;0,4166666666666667;0,3333333333333333;0,25;0,7077810960595439;578,0;-0,05;0,0;159;zachary svajda;0;0;0
Juan Manuel Cerundolo;4,8;8,68;81;;;ARG;128;128;128;26;1788,8;1656,7;1813,6;0,5833333333333334;0,0;0,0;0,4707412837835996;609,0;0,0299999999999999;0,0;188;juan manuel cerundolo;0;0;0
Mariano Navone;3,6;7,57;83;;;ARG;128;128;128;42;1793,7;1678,6;1875,9;0,5;0,0;0,0;0,3430888094381006;522,0;0,0;0,0;168;mariano navone;0;0;0
Liam Draxl;1,0;6,62;86;;WC;CAN;128;128;128;6;1605,2;1584,3;1699,6;0,5833333333333334;0,6923076923076923;0,9285714285714286;0,7986863041779158;838,0;0,0999999999999999;1,0;158;liam draxl;0;0;0
Terence Atmane;4,8;5,11;89;;;FRA;128;128;128;22;1697,2;1670,4;1763,0;0,25;0,5;0,2857142857142857;0,704064323827244;364,0;0,0;0,0;163;terence atmane;0;0;0
Jan Lennard Struff;2,6;5,01;90;;;GER;128;128;128;7;1738,9;1656,5;1935,1;0,6666666666666666;0,0;0,0;0,6513409381686309;1109,0;0,0499999999999999;0,0;146;jan lennard struff;0;0;0
Valentin Royer;2,4;4,32;91;;;FRA;128;128;128;11;1647,6;1588,4;1800,2;0,5;0,0;0,0;0,1299013255182253;684,0;-0,15;0,0;180;valentin royer;0;0;0
Camilo Ugo Carabelli;3,9;4,19;92;;;ARG;128;128;128;46;1740,2;1632,0;1771,9;0,5;0,0;0,0;0,3843251123656238;577,0;0,0;0,0;178;camilo ugo carabelli;0;0;0
Aleksandar Kovacevic;3,0;4,06;93;;;USA;128;128;128;51;1627,7;1606,8;1758,8;0,3333333333333333;0,0;0,1428571428571428;0,1320156550040377;82,0;-0,15;0,0;172;aleksandar kovacevic;0;0;0
Adolfo Daniel Vallejo;1,8;2,01;94;;;;128;128;128;55;1702,6;1501,0;1780,4;0,4166666666666667;0,0;0,0;0,9700816717547928;799,0;0,0299999999999999;0,0;158;adolfo daniel vallejo;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
BYE;0,0;0,0;95;;;;128;128;128;4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;bye;0;0;0
