player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
Daniil Medvedev;16,3;73,52;2;4,0;;;128;128;128;17;1957,2;1944,0;2201,2;0,5833333333333334;0,3333333333333333;0,5;1,1527308359938178;376,0;-0,05;0,0;265;daniil medvedev;95;0;0,0
Alex De Minaur;17,6;69,51;3;3,0;;AUS;128;128;128;48;1946,3;1918,3;2053,1;0,6666666666666666;0,625;0,6666666666666666;1,833080184775092;932,0;0,0;0,0;275;alex de minaur;95;1;25,0
Andrey Rublev;12,8;59,91;7;10,0;;;128;128;128;56;1889,2;1834,7;2122,1;0,5;0,3333333333333333;0,3;0,6086452432186537;522,0;-0,05;0,0;256;andrey rublev;95;0;0,0
Jiri Lehecka;11,5;52,57;9;8,0;;CZE;128;128;128;33;1921,4;1870,4;1989,9;0,5833333333333334;0,5;0,6;0,9624073943328324;619,0;0,0299999999999999;0,0;218;jiri lehecka;95;2;50,0
Flavio Cobolli;11,5;51,92;10;6,0;;ITA;128;128;128;49;1883,7;1794,0;1931,6;0,6666666666666666;0,8;0,4545454545454545;1,960328746771796;666,0;0,09;0,0;274;flavio cobolli;95;0;0,0
