player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament;actual_minus_expected;actual_to_expected_ratio;actual_points_per_credit
Alex De Minaur;17,8;69,96;4;3,0;;AUS;128;128;128;48;1960,8;1935,5;2053,1;0,6666666666666666;0,6666666666666666;0,2142857142857142;1,1485763294196645;688,0;0,0499999999999999;0,0;196;alex de minaur;0;0;0;-69,96;0,0;0,0
Ben Shelton;17,5;61,17;6;5,0;;USA;128;128;128;32;1939,0;1910,9;2024,4;0,75;1,0;0,2;0,8543367422173332;273,0;0,15;0,0;171;ben shelton;0;0;0;-61,17;0,0;0,0
Flavio Cobolli;11,7;51,9;9;6,0;;ITA;128;128;128;49;1898,2;1810,6;1931,6;0,6666666666666666;0,0;0,0;0,2776004496569315;1009,0;-0,15;0,0;181;flavio cobolli;0;0;0;-51,9;0,0;0,0
Jakub Mensik;13,0;51,11;10;13,0;;CZE;128;128;128;24;1916,9;1885,7;1969,6;0,5833333333333334;0,5;0,2857142857142857;0,8733982137817154;476,0;0,0;0,0;168;jakub mensik;0;0;0;-51,11;0,0;0,0
