player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
Hubert Hurkacz;6,8;39,29;28;;;POL;128;128;128;50;1849,2;1776,9;2022,5;0,75;0,7777777777777778;0,6923076923076923;1,3847732301786604;1080,0;0,1;0,0;259;hubert hurkacz;17;0;0,0
Arthur Rinderknech;5,9;37,96;29;26,0;;FRA;128;128;128;36;1779,9;1746,0;1871,8;0,4166666666666667;0,5;0,4;0,6746428735597283;615,0;-0,05;0,0;294;arthur rinderknech;17;1;25,0
Matteo Berrettini;6,3;35,98;30;;;ITA;128;128;128;47;1829,4;1786,0;2065,7;0,5833333333333334;0,3333333333333333;0,5;0,1731753448275404;445,0;0,0;0,0;189;matteo berrettini;17;0;0,0
Thiago Agustin Tirante;6,5;34,29;31;;;ARG;128;128;128;58;1824,2;1752,2;1829,7;0,75;0,7777777777777778;0,6923076923076923;1,8685219543944256;1068,0;0,0499999999999999;0,0;315;thiago agustin tirante;17;0;0,0
Matteo Arnaldi;3,8;33,12;32;30,0;;ITA;128;128;128;61;1770,9;1693,2;1902,9;0,4166666666666667;0,25;0,5714285714285714;0,4668093593486007;412,0;-0,15;0,0;282;matteo arnaldi;17;0;0,0
Tomas Martin Etcheverry;4,7;31,71;33;27,0;;ARG;128;128;128;45;1763,0;1713,4;1871,7;0,1666666666666666;0,0;0,375;-0,0332548568889499;296,0;-0,15;0,0;316;tomas martin etcheverry;17;1;25,0
Cameron Norrie;7,4;31,3;34;29,0;;GBR;128;128;128;52;1847,4;1809,8;2028,6;0,5833333333333334;0,7;0,9090909090909092;0,9287423006253144;1053,0;0,0;0,0;290;cameron norrie;17;0;0,0
Grigor Dimitrov;4,4;30,58;35;;Q;BUL;128;128;128;3;1750,1;1733,2;2111,5;0,6666666666666666;0,75;0,4;0,5888986539462736;281,0;0,425;0,0;237;grigor dimitrov;17;0;0,0
Denis Shapovalov;6,8;30,4;36;;;CAN;128;128;128;51;1772,7;1773,4;1983,2;0,5;0,625;0,8888888888888888;0,7317299812313376;891,0;0,0;0,0;223;denis shapovalov;17;1;25,0
Daniel Merida Aguilar;3,8;30,31;37;;;ESP;128;128;128;43;1863,9;1805,4;1877,2;0,0;0,0;0,0;-0,3;0,0;0,0;0,0;0;daniel merida aguilar;17;0;0,0
Raphael Collignon;2,3;29,09;38;;;BEL;128;128;128;34;1844,7;1785,5;1924,1;0,3333333333333333;0,0;0,3;1,035236423893018;375,0;-0,15;0,0;184;raphael collignon;17;0;0,0
Karen Khachanov;10,5;29,06;39;;;;128;128;128;18;1790,8;1741,6;2029,5;0,4166666666666667;0,0;0,5;0,0078158024963738;334,0;-0,15;0,0;263;karen khachanov;17;0;0,0
Valentin Royer;2,7;28,07;40;;WC;FRA;128;128;128;6;1693,8;1645,1;1800,2;0,75;0,75;0,5333333333333333;1,3079259508865186;978,0;0,15;0,0;212;valentin royer;17;0;0,0
Corentin Moutet;4,3;28,02;41;;;FRA;128;128;128;7;1730,9;1714,0;1881,9;0,1818181818181818;0,3333333333333333;0,75;-0,1124781536807025;315,0;0,0;0,0;262;corentin moutet;17;0;0,0
Alex Molcan;2,4;27,49;42;;;SVK;128;128;128;19;1763,8;1663,3;1872,5;0,5833333333333334;0,0;0,0;-0,2457884801090313;92,0;0,0;0,0;199;alex molcan;17;0;0,0
Gael Monfils;3,2;27,4;43;;;FRA;128;128;128;23;1795,4;1772,8;2087,1;0,25;0,3333333333333333;1,0;0,3911254016868389;371,0;-0,15;0,0;146;gael monfils;17;0;0,0
Dino Prizmic;3,0;26,59;44;;;CRO;128;128;128;59;1792,1;1688,7;1886,5;0,4166666666666667;0,0;0,3333333333333333;0,0110631387537051;222,0;-0,15;0,0;182;dino prizmic;17;1;25,0
Alejandro Tabilo;5,2;26,35;45;25,0;;CHI;128;128;128;4;1807,3;1757,7;1895,7;0,5;0,5714285714285714;0,5833333333333334;0,2006124871293944;628,0;0,0;0,0;308;alejandro tabilo;17;0;0,0
Jaume Munar;5,3;25,66;46;;;ESP;128;128;128;35;1772,6;1752,0;1830,4;0,4166666666666667;0,6666666666666666;0,4285714285714285;-0,010256032298588;516,0;0,0;0,0;281;jaume munar;17;1;25,0
Michael Zheng;1,0;24,05;47;;WC;USA;128;128;128;10;1801,4;1753,3;1819,1;0,75;0,6923076923076923;0,6842105263157895;0,6653963469958861;999,0;0,14;1,0;82;michael zheng;17;0;0,0
Lloyd Harris;1,0;23,67;48;;Q;RSA;128;128;128;55;1706,8;1677,4;1896,0;0,9166666666666666;0,8125;1,0;2,3032070018707524;1582,0;0,4499999999999999;0,0;185;lloyd harris;17;1;25,0
Botic Van De Zandschulp;5,2;23,58;49;;;NED;128;128;128;15;1761,9;1739,4;1938,0;0,5833333333333334;0,6666666666666666;0,6428571428571429;1,4131753570874117;948,0;0,0;0,0;286;botic van de zandschulp;17;0;0,0
Jan Lennard Struff;3,8;23,53;50;;;GER;128;128;128;27;1734,2;1651,3;1935,1;0,5833333333333334;0,3333333333333333;0,2727272727272727;0,0508216557818601;309,0;0,0;0,0;256;jan lennard struff;17;0;0,0
Jacob Fearnley;2,9;23,26;51;;LL;GBR;128;128;128;46;1726,0;1664,4;1910,0;0,5833333333333334;0,6666666666666666;0,6818181818181818;1,8943376211236824;1109,0;-0,15;0,0;152;jacob fearnley;17;0;0,0
Quentin Halys;3,4;22,21;52;;;FRA;128;128;128;2;1792,6;1732,2;1811,4;0,75;0,6;0,3333333333333333;0,9213171776844944;602,0;0,0299999999999999;0,0;309;quentin halys;17;0;0,0
Tomas Machac;6,6;22,16;53;;;CZE;128;128;128;54;1851,4;1813,0;1972,7;0,3333333333333333;0,0;1,0;0,3310951178610518;176,0;-0,15;0,0;268;tomas machac;17;0;0,0
Juncheng Shang;1,0;20,73;54;;;CHN;128;128;128;30;1736,3;1680,1;1895,7;0,5;0,5;1,0;0,1095994531186295;531,0;-0,15;0,0;187;juncheng shang;17;0;0,0
Jaime Faria;3,6;20,5;55;;;POR;128;128;128;63;1798,3;1710,4;1810,2;0,5833333333333334;0,625;0,4444444444444444;0,7509228412932246;804,0;0,1;0,0;175;jaime faria;17;1;25,0
Ignacio Buse;4,3;20,27;56;32,0;;PER;128;128;128;20;1767,1;1618,6;1844,9;0,5;0,6;0,4545454545454545;1,842255480819352;580,0;0,075;0,0;161;ignacio buse;17;0;0,0
Nishesh Basavareddy;1,4;19,89;57;;Q;USA;128;128;128;31;1701,3;1653,9;1856,6;0,5833333333333334;0,75;1,0;1,539500160060121;478,0;0,425;1,0;161;nishesh basavareddy;17;0;0,0
Adam Walton;3,6;19,46;58;;;AUS;128;128;128;62;1718,7;1669,8;1747,1;0,5833333333333334;0,5454545454545454;0,6470588235294118;1,2051076211947254;901,0;0,0299999999999999;0,0;259;adam walton;17;0;0,0
Jesper De Jong;2,0;19,34;59;;;NED;128;128;128;14;1691,1;1604,8;1741,0;0,4166666666666667;0,4;0,5;0,5979727232826615;395,0;-0,0299999999999999;0,0;282;jesper de jong;17;0;0,0
Kamil Majchrzak;3,1;18,86;60;;;POL;128;128;128;38;1781,9;1720,8;1813,4;0,5;0,2;0,7142857142857143;0,4422351892862232;396,0;-0,15;0,0;193;kamil majchrzak;17;1;25,0
Aleksandar Vukic;1,0;18,5;61;;;AUS;128;128;128;39;1665,1;1639,3;1773,3;0,6666666666666666;0,7333333333333333;0,8823529411764706;0,4564029677986617;818,0;0,0;0,0;319;aleksandar vukic;17;0;0,0
Yannick Hanfmann;3,3;17,97;62;;;GER;128;128;128;4;1802,8;1743,5;1843,4;0,5833333333333334;0,6;0,3846153846153846;0,1879864661997347;520,0;-0,05;0,0;303;yannick hanfmann;17;0;0,0
Hamad Medjedovic;4,4;17,89;63;;;SRB;128;128;128;38;1786,1;1690,1;1859,9;0,4545454545454545;0,0;0,6666666666666666;-0,0806918529838164;200,0;-0,15;0,0;215;hamad medjedovic;17;0;0,0
Yibing Wu;1,7;17,36;64;;;CHN;128;128;128;62;1697,0;1699,4;1882,9;0,25;0,4;0,7142857142857143;0,3553466829995802;305,0;-0,05;0,0;154;yibing wu;17;1;25,0
Zachary Svajda;3,3;17,2;65;;;USA;128;128;128;11;1705,2;1664,7;1794,0;0,5;0,3333333333333333;0,6666666666666666;-0,0138871521535663;322,0;-0,15;1,0;235;zachary svajda;17;0;0,0
Marcos Giron;2,1;16,8;66;;;USA;128;128;128;20;1712,9;1682,7;1874,1;0,5;0,4285714285714285;0,7;0,3063326796873949;400,0;-0,15;1,0;271;marcos giron;17;0;0,0
