player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_wins;actual_points;actual_matches_in_tournament
Daniel Merida Aguilar;1,0;28,85;28;;Q;ESP;128;128;128;15;1822,8;1786,4;1822,8;0,0;0,0;0,0;-0,3;0,0;0,35;0,0;0;daniel merida aguilar;0;0,0;95
Jakub Mensik;13,0;28,62;29;26,0;;CZE;128;128;128;4;1916,9;1853,9;1969,6;0,5833333333333334;0,6666666666666666;0,4285714285714285;0,6712634064150111;311,0;0,0499999999999999;0,0;195;jakub mensik;0;0,0;95
Camilo Ugo Carabelli;3,9;28,33;30;;;ARG;128;128;128;42;1752,0;1737,9;1771,9;0,5833333333333334;0,625;0,6666666666666666;0,5513626782503743;739,0;0,0;0,0;232;camilo ugo carabelli;0;0,0;95
Joao Fonseca;10,2;28,2;31;27,0;;BRA;128;128;128;20;1918,4;1851,7;1992,5;0,5833333333333334;0,6666666666666666;0,6;0,758139356634266;880,0;0,0299999999999999;0,0;142;joao fonseca;0;0,0;95
Roman Andres Burruchaga;1,5;26,52;32;;;ARG;128;128;128;22;1720,6;1703,6;1764,5;0,5833333333333334;0,75;0,6666666666666666;1,9129432541516027;929,0;0,0499999999999999;0,0;232;roman andres burruchaga;0;0,0;95
Alexander Blockx;4,7;26,17;33;;;BEL;128;128;128;62;1874,8;1832,0;1907,2;0,75;0,7692307692307693;0,65;1,966353599564708;1329,0;0,1;0,0;167;alexander blockx;2;50,0;95
Matteo Berrettini;6,2;26,08;34;;;ITA;128;128;128;3;1840,2;1794,4;2065,7;0,5;0,5;0,6153846153846154;1,3734355509852687;632,0;0,0;1,0;131;matteo berrettini;0;0,0;95
Ignacio Buse;4,9;25,4;35;;;;128;128;128;6;1795,8;1766,7;1844,9;0,5;0,4444444444444444;0,6428571428571429;1,5733553657357675;918,0;0,0;0,0;134;ignacio buse;1;25,0;95
Luciano Darderi;8,0;25,19;36;18,0;;ITA;128;128;128;60;1839,4;1843,0;1858,1;0,5;0,5;0,8;0,572691904397991;667,0;0,0;1,0;240;luciano darderi;4;100,0;95
Miomir Kecmanovic;4,6;24,77;37;;;SRB;128;128;128;10;1764,1;1728,8;1900,6;0,4166666666666667;0,0;0,375;0,0822521025758397;381,0;-0,15;0,0;196;miomir kecmanovic;1;25,0;95
Mariano Navone;3,6;24,15;38;;;ARG;128;128;128;18;1790,0;1771,6;1875,9;0,6666666666666666;0,6666666666666666;0,5294117647058824;0,7887240514951753;886,0;-0,075;0,0;213;mariano navone;2;50,0;95
Cameron Norrie;7,0;23,45;40;17,0;;GBR;128;128;128;28;1815,5;1781,0;2028,6;0,5833333333333334;0,625;0,6153846153846154;1,5607810254092265;1052,0;0,0499999999999999;0,0;199;cameron norrie;0;0,0;95
Dino Prizmic;3,1;22,93;41;;Q;CRO;128;128;128;47;1830,8;1792,6;1886,5;0,75;0,75;0,75;2,176053134199627;1397,0;0,44;0,0;162;dino prizmic;3;75,0;95
Jan Lennard Struff;2,6;22,6;42;;;GER;128;128;128;39;1738,7;1681,6;1935,1;0,3333333333333333;0,3333333333333333;0,5;0,0311884122750513;202,0;0,0;0,0;191;jan lennard struff;1;25,0;95
Zizou Bergs;4,3;22,31;43;;;BEL;128;128;128;26;1816,6;1700,8;1859,2;0,5833333333333334;0,6;0,7142857142857143;1,4127114099994045;980,0;0,0;0,0;223;zizou bergs;0;0,0;95
Ugo Humbert;7,0;22,22;44;31,0;;FRA;128;128;128;45;1855,6;1726,0;2017,7;0,4166666666666667;0,3333333333333333;0,4285714285714285;0,161660283783091;307,0;-0,15;0,0;208;ugo humbert;1;25,0;95
Pablo Llamas Ruiz;1,0;21,88;45;;Q;ESP;128;128;128;30;1729,3;1718,3;1773,5;0,75;0,7333333333333333;1,0;0,5137215527933896;853,0;0,3799999999999999;0,0;132;pablo llamas ruiz;2;50,0;95
Sebastian Baez;3,4;21,84;46;;;ARG;128;128;128;55;1749,6;1717,0;1941,4;0,4166666666666667;0,3333333333333333;0,6;0,1211926889684839;449,0;-0,15;0,0;193;sebastian baez;1;25,0;95
Stefanos Tsitsipas;7,7;21,76;47;;;GRE;128;128;128;31;1870,3;1877,9;2145,1;0,4166666666666667;0,5;0,6;1,839757347210298;729,0;0,0299999999999999;0,0;207;stefanos tsitsipas;0;0,0;95
Alejandro Tabilo;4,7;20,37;48;;;CHI;128;128;128;35;1803,9;1771,9;1895,7;0,6666666666666666;0,6666666666666666;0,6428571428571429;1,6100823347619255;1029,0;0,1;0,0;230;alejandro tabilo;1;25,0;95
Hubert Hurkacz;5,6;19,92;49;;;POL;128;128;128;59;1821,6;1773,9;2022,5;0,5833333333333334;0,7;0,7692307692307693;2,060095632975428;1110,0;0,0499999999999999;0,0;178;hubert hurkacz;0;0,0;95
Matteo Arnaldi;4,2;19,71;50;;WC;ITA;128;128;128;50;1797,1;1801,5;1902,9;0,5;0,5454545454545454;0,8461538461538461;2,2347847670436543;1271,0;0,15;1,0;196;matteo arnaldi;2;50,0;95
Alexandre Muller;3,5;19,42;51;;;FRA;128;128;128;43;1650,5;1614,4;1801,7;0,5833333333333334;0,5384615384615384;0,9285714285714286;0,5422878878931514;804,0;-0,075;0,0;211;alexandre muller;0;0,0;95
Roberto Bautista Agut;1,3;18,95;52;;;ESP;128;128;128;14;1696,9;1638,0;2033,8;0,3333333333333333;0,2857142857142857;0,5384615384615384;0,5835351759887498;538,0;-0,05;0,0;165;roberto bautista agut;1;25,0;95
Fabian Marozsan;4,0;18,77;53;;;HUN;128;128;128;46;1786,5;1716,8;1867,2;0,4166666666666667;0,5555555555555556;0,8181818181818182;0,7999961625661858;965,0;0,0;0,0;200;fabian marozsan;0;0,0;95
Giovanni Mpetshi Perricard;1,3;18,12;54;;;FRA;128;128;128;34;1725,0;1666,4;1862,8;0,3333333333333333;0,0;0,0;-0,3;0,0;0,0;0,0;177;giovanni mpetshi perricard;1;25,0;95
Alex Michelsen;6,5;17,22;55;;;USA;128;128;128;2;1796,7;1680,3;1904,8;0,5;0,3333333333333333;0,4285714285714285;0,5670143380840496;466,0;-0,075;0,0;223;alex michelsen;0;0,0;95
