player;credits;expected_points;rank_v13;seed;entry;ioc;real_draw_size;draw_size;bracket_size;r1_match;overall_elo;selected_surface_elo;peak_elo;recent_form;surface_form_60d;same_surface_ratio_60d;fatigue_load;minutes_30d;qualifier_momentum_raw;local_home_raw;matches_in_db;player_norm;actual_matches_in_tournament;actual_wins;actual_points
NIKOLOZ BASILASHVILI;2,2;15,57;57;;Q;;128;128;128;19;1684,6;1651,9;1889,8;0,5833333333333334;0,625;0,6666666666666666;0,2872460762920654;300,0;0,35;0,0;139;nikoloz basilashvili;95;0;0,0
DENIS SHAPOVALOV;7,5;15,34;58;31,0;;CAN;128;128;128;52;1771,7;1676,6;1983,2;0,25;0,0;0,5;0,4902749944851666;518,0;-0,05;0,0;128;denis shapovalov;95;0;0,0
TITOUAN DROGUET;1,0;14,95;59;;Q;FRA;128;128;128;2;1717,5;1680,8;1736,6;0,5833333333333334;0,5;0,6666666666666666;0,5848757284396751;531,0;0,425;0,0;164;titouan droguet;95;0;0,0
FABIAN MAROZSAN;3,8;14,33;60;;;HUN;128;128;128;50;1751,5;1699,3;1867,2;0,4166666666666667;0,0;0,375;1,290895405429328;654,0;0,0299999999999999;0,0;137;fabian marozsan;95;1;25,0
DUSAN LAJOVIC;1,3;14,06;61;;Q;SRB;128;128;128;11;1628,1;1597,6;1854,6;0,4166666666666667;0,3636363636363636;1,0;0,2241164732670164;517,0;0,35;0,0;144;dusan lajovic;95;1;25,0
ETHAN QUINN;2,0;13,64;62;;;USA;128;128;128;50;1775,5;1673,9;1842,9;0,4166666666666667;0,3333333333333333;0,6666666666666666;0,8647699277174096;503,0;0,0499999999999999;0,0;154;ethan quinn;95;0;0,0
REILLY OPELKA;4,1;13,54;63;;;USA;128;128;128;51;1748,9;1644,0;1927,5;0,375;0,0;1,0;-0,2141666666666666;206,0;0,0;0,0;94;reilly opelka;95;0;0,0
ZIZOU BERGS;4,5;13,29;64;;;BEL;128;128;128;14;1748,0;1666,5;1859,2;0,4166666666666667;0,5;0,7272727272727273;1,1413374443200632;523,0;-0,05;0,0;169;zizou bergs;95;0;0,0
BRANDON NAKASHIMA;6,7;11,93;65;28,0;;USA;128;128;128;45;1839,0;1734,9;1909,5;0,5833333333333334;0,5;0,6;1,6211204112558952;1039,0;0,075;0,0;189;brandon nakashima;95;0;0,0
DAMIR DZUMHUR;2,4;11,47;66;;;BIH;128;128;128;30;1627,0;1588,5;1895,8;0,4166666666666667;0,3;0,7692307692307693;1,2391338146329316;906,0;0,0;0,0;180;damir dzumhur;95;1;25,0
BENJAMIN BONZI;1,4;11,42;67;;Q;FRA;128;128;128;2;1749,6;1621,9;1835,8;0,5833333333333334;0,2;0,3846153846153846;0,9542849679967168;878,0;0,3999999999999999;0,0;160;benjamin bonzi;95;1;25,0
